product_id,name,category,subcategory,brand,price,rating,tags,description
1000,AirCool Footwear 304 Go,Fashion,Footwear,AirCool,1679.59,4.1,"portable,discount,budget","Lightweight and ergonomic Footwear ideal for daily portable, discount, budget needs."
1001,WearWell Desk Accessories 6275 Go,Office Supplies,Desk Accessories,WearWell,18840.77,4.1,"trending,budget,new","Perfect choice for users looking for a trending, budget, new friendly Desk Accessories."
1002,SprintX Audio 9374 Ultra,Electronics,Audio,SprintX,6088.37,3.7,"portable,fitness,eco","Feature-rich Audio crafted for modern portable, fitness, eco lifestyles."
1003,WearWell Laptop 508 Flex,Electronics,Laptop,WearWell,34627.7,4.9,"wireless,office,kids","Perfect choice for users looking for a wireless, office, kids friendly Laptop."
1004,ToyWorld Air Cooler 370 Pro,Home Appliances,Air Cooler,ToyWorld,40070.74,4.0,"budget,office,bestseller","Feature-rich Air Cooler crafted for modern budget, office, bestseller lifestyles."
1005,ChefMaster Furniture 7791 Ultra,Home & Kitchen,Furniture,ChefMaster,1380.84,4.4,"kids,travel,student","Feature-rich Furniture crafted for modern kids, travel, student lifestyles."
1006,DeskPro Fitness Band 5051 Lite,Wearables,Fitness Band,DeskPro,22806.26,5.0,"portable,fashion,outdoor","High-quality Fitness Band from DeskPro, designed for portable, fashion, outdoor usage."
1007,HomeLite Camera 3089 Lite,Electronics,Camera,HomeLite,36674.84,3.6,"outdoor,premium,wireless","Reliable and durable Camera suitable for outdoor, premium, wireless."
1008,SitRight Watches 6621 Max,Fashion,Watches,SitRight,7007.78,4.8,"premium,kids,new","Feature-rich Watches crafted for modern premium, kids, new lifestyles."
1009,BookNest Fitness Band 9972 Ultra,Wearables,Fitness Band,BookNest,7195.47,5.0,"budget,kids,eco",Top-rated Fitness Band known for its long-lasting performance and style.
1010,HomeLite Smartphone 6439 X,Electronics,Smartphone,HomeLite,21113.68,4.1,"budget,bestseller,home","High-quality Smartphone from HomeLite, designed for budget, bestseller, home usage."
1011,ChefMaster Car Accessories 3739 Lite,Automobile,Car Accessories,ChefMaster,10997.25,4.2,"fitness,work,wireless","High-quality Car Accessories from ChefMaster, designed for fitness, work, wireless usage."
1012,WearWell Air Cooler 7353 Lite,Home Appliances,Air Cooler,WearWell,13790.54,4.3,"work,outdoor,gaming","Lightweight and ergonomic Air Cooler ideal for daily work, outdoor, gaming needs."
1013,GlowSkin Remote Control 4807 X,Toys,Remote Control,GlowSkin,16509.28,5.0,"wireless,gaming,trending","Reliable and durable Remote Control suitable for wireless, gaming, trending."
1014,TravelMate Washing Machine 2476 Flex,Home Appliances,Washing Machine,TravelMate,28180.39,4.4,"budget,gaming,home","Perfect choice for users looking for a budget, gaming, home friendly Washing Machine."
1015,EcoServe Remote Control 3467 Lite,Toys,Remote Control,EcoServe,3136.56,4.8,"kids,travel,fitness","Perfect choice for users looking for a kids, travel, fitness friendly Remote Control."
1016,HerbalCare Football 9164 Ultra,Sports,Football,HerbalCare,14001.48,4.3,"portable,bestseller,home","High-quality Football from HerbalCare, designed for portable, bestseller, home usage."
1017,FitTrack Decor 9963 Go,Home & Kitchen,Decor,FitTrack,1591.95,4.2,"budget,gaming,office","Reliable and durable Decor suitable for budget, gaming, office."
1018,SoundMax Car Accessories 9583 Go,Automobile,Car Accessories,SoundMax,1569.97,4.7,"portable,fitness,travel",Top-rated Car Accessories known for its long-lasting performance and style.
1019,TechWave Bike Accessories 1229 Go,Automobile,Bike Accessories,TechWave,10139.49,4.5,"portable,travel,premium",Top-rated Bike Accessories known for its long-lasting performance and style.
1020,DeskPro Football 288 X,Sports,Football,DeskPro,9901.02,4.1,"trending,gaming,office","Lightweight and ergonomic Football ideal for daily trending, gaming, office needs."
1021,TravelMate Storage 2158 Plus,Home & Kitchen,Storage,TravelMate,472.09,3.7,"premium,office,outdoor","Reliable and durable Storage suitable for premium, office, outdoor."
1022,SprintX Bike Accessories 7044,Automobile,Bike Accessories,SprintX,958.48,3.6,"trending,eco,portable","Feature-rich Bike Accessories crafted for modern trending, eco, portable lifestyles."
1023,VeloDrive Cricket 2204 Lite,Sports,Cricket,VeloDrive,1322.14,3.9,"gaming,premium,travel","Feature-rich Cricket crafted for modern gaming, premium, travel lifestyles."
1024,HomeLite Appliances 5262 X,Home & Kitchen,Appliances,HomeLite,6237.79,3.9,"home,office,fashion","Reliable and durable Appliances suitable for home, office, fashion."
1025,EcoServe Car Accessories 3550 X,Automobile,Car Accessories,EcoServe,3536.4,4.6,"travel,new,work","Feature-rich Car Accessories crafted for modern travel, new, work lifestyles."
1026,SoftSilk Fiction 2321 Pro,Books,Fiction,SoftSilk,559.82,4.3,"premium,trending,fitness","High-quality Fiction from SoftSilk, designed for premium, trending, fitness usage."
1027,Nutrimax Car Accessories 4738 Flex,Automobile,Car Accessories,Nutrimax,2879.75,4.9,"wireless,student,new","Lightweight and ergonomic Car Accessories ideal for daily wireless, student, new needs."
1028,EcoSip Appliances 2889 Go,Home & Kitchen,Appliances,EcoSip,5862.01,4.7,"home,fashion,trending","High-quality Appliances from EcoSip, designed for home, fashion, trending usage."
1029,DeskPro Bags 8570 Max,Fashion,Bags,DeskPro,7725.6,4.7,"wireless,gaming,home","Perfect choice for users looking for a wireless, gaming, home friendly Bags."
1030,EcoServe Beverages 4654 Flex,Groceries,Beverages,EcoServe,248.85,4.1,"premium,travel,office","High-quality Beverages from EcoServe, designed for premium, travel, office usage."
1031,GlowSkin Bags 6559 Go,Fashion,Bags,GlowSkin,5865.87,4.0,"office,fitness,budget","Reliable and durable Bags suitable for office, fitness, budget."
1032,WhirlHome Outdoor 6793 Ultra,Sports,Outdoor,WhirlHome,6091.69,4.9,"portable,fashion,budget","Lightweight and ergonomic Outdoor ideal for daily portable, fashion, budget needs."
1033,AromaHome Desk Accessories 1074 X,Office Supplies,Desk Accessories,AromaHome,5081.66,4.2,"fashion,trending,student","High-quality Desk Accessories from AromaHome, designed for fashion, trending, student usage."
1034,HomeLite Footwear 8301 Go,Fashion,Footwear,HomeLite,1856.9,4.0,"outdoor,fashion,kids","Perfect choice for users looking for a outdoor, fashion, kids friendly Footwear."
1035,DeskPro Snacks 3837 X,Groceries,Snacks,DeskPro,177.27,3.6,"kids,portable,work","Lightweight and ergonomic Snacks ideal for daily kids, portable, work needs."
1036,PowerMax Staples 8577 Ultra,Groceries,Staples,PowerMax,694.8,4.1,"office,portable,trending","High-quality Staples from PowerMax, designed for office, portable, trending usage."
1037,SportX Watches 3467 Pro,Fashion,Watches,SportX,3398.9,4.7,"discount,travel,outdoor",Top-rated Watches known for its long-lasting performance and style.
